,file_name,extension,ID,x_start[px],y_start[px],x_end[px],y_end[px],ang_vel[deg/s],width
0,OMEGA.2022-01-17T02:36:13.877.fits,1,1,149.6,2054.28,2084.78,2794.74,0.003028,2073.0
1,OMEGA.2022-01-17T02:36:13.877.fits,2,3,57.67,2838.61,2084.27,3614.35,0.003037,2171.0
2,OMEGA.2022-01-17T02:36:13.877.fits,3,6,52.06,3652.41,1128.29,4063.31,0.003044,1153.0
3,OMEGA.2022-01-17T02:36:13.877.fits,8,11,57.95,10.83,2090.74,789.99,0.003054,2178.0
4,OMEGA.2022-01-17T02:09:28.062.fits,16,2,51.55,3633.53,320.42,4192.2,0.2249,621.0
5,OMEGA.2022-01-17T02:09:28.062.fits,5,4,739.91,67.99,2090.93,2913.56,0.2243,3151.0
6,OMEGA.2022-01-17T02:09:28.062.fits,6,5,52.78,3129.53,504.74,4071.74,0.2244,1046.0
7,OMEGA.2022-01-17T02:24:04.785.fits,17,1,915.46,4082.8,2087.92,3581.84,0.04766,1276.0
8,OMEGA.2022-01-17T02:24:04.785.fits,18,2,56.49,3536.96,2089.95,2671.43,0.04784,2211.0
9,OMEGA.2022-01-17T02:24:04.785.fits,19,3,50.91,2627.05,2087.09,1755.15,0.04804,2216.0
10,OMEGA.2022-01-17T02:24:04.785.fits,20,4,56.24,1709.3,1981.05,884.71,0.04825,2095.0
11,OMEGA.2022-01-17T02:24:04.785.fits,5,5,59.39,3638.64,2085.93,2777.29,0.04683,2203.0
12,OMEGA.2022-01-17T02:24:04.785.fits,6,8,53.76,2728.55,2090.35,1860.18,0.04703,2215.0
13,OMEGA.2022-01-17T02:24:04.785.fits,7,9,60.38,1815.11,2085.32,949.99,0.04723,2203.0
14,OMEGA.2022-01-17T02:24:04.785.fits,8,10,53.85,902.96,2085.2,37.58,0.04742,2209.0
15,OMEGA.2022-01-17T06:59:02.103.fits,18,1,1156.24,4078.4,1650.76,26.45,0.2012,4083.0
16,OMEGA.2022-01-17T06:59:02.103.fits,31,2,349.2,3229.36,2087.79,2040.85,0.1375,2107.0
17,OMEGA.2022-01-17T06:59:02.103.fits,32,3,61.37,1964.1,2019.8,629.38,0.1374,2371.0
18,OMEGA.2022-01-17T02:42:18.798.fits,24,1,59.3,3198.65,2089.89,3980.75,0.003087,2177.0
19,OMEGA.2022-01-17T01:24:19.995.fits,11,1,1909.26,4187.17,2086.44,3481.06,0.3953,729.0
20,OMEGA.2022-01-17T01:24:19.995.fits,12,2,55.73,3044.2,786.8,128.45,0.3957,3007.0
21,OMEGA.2022-01-17T01:24:19.995.fits,15,3,794.08,4187.4,1805.67,135.78,0.3947,4177.0
22,OMEGA.2022-01-17T01:24:19.995.fits,17,4,51.58,3000.97,798.68,5.74,0.3971,3088.0
23,OMEGA.2022-01-17T01:24:19.995.fits,19,5,1129.52,118.01,2090.98,1785.7,0.4008,1926.0
24,OMEGA.2022-01-17T01:24:19.995.fits,20,6,53.23,1971.55,1238.71,4027.21,0.4008,2374.0
25,OMEGA.2022-01-17T01:24:19.995.fits,24,7,1502.53,38.03,2080.96,1043.53,0.4008,1161.0
26,OMEGA.2022-01-17T01:24:19.995.fits,4,8,1930.66,4068.68,2089.28,3431.12,0.3968,658.0
27,OMEGA.2022-01-17T01:24:19.995.fits,8,9,811.97,4074.67,1818.47,58.88,0.3962,4141.0
28,OMEGA.2022-01-19T02:20:26.865.fits,28,1,324.85,4119.01,111.77,120.66,0.206,4005.0
29,OMEGA.2022-01-19T04:58:39.792.fits,28,9,66.0,3682.9,2090.0,3682.28,0.03093,2025.0
30,OMEGA.2022-01-19T04:27:33.607.fits,16,2,70.39,4192.41,2086.75,3429.1,0.1362,2157.0
31,OMEGA.2022-01-19T04:27:33.607.fits,29,4,59.06,3386.56,2088.79,2619.02,0.1358,2171.0
32,OMEGA.2022-01-19T04:27:33.607.fits,30,5,58.58,2583.0,2085.45,1813.57,0.1355,2169.0
33,OMEGA.2022-01-19T04:27:33.607.fits,31,7,54.53,1771.53,2081.58,1002.58,0.1351,2169.0
34,OMEGA.2022-01-19T04:27:33.607.fits,32,8,59.28,959.56,2087.5,193.69,0.1347,2169.0
35,OMEGA.2022-01-19T01:58:42.111.fits,17,1,1859.79,3988.72,886.62,14.12,0.2864,4093.0
36,OMEGA.2022-01-19T01:58:42.111.fits,22,2,829.84,4071.82,57.31,908.79,0.2865,3257.0
37,OMEGA.2022-01-19T01:58:42.111.fits,26,3,1819.83,4077.8,852.63,125.42,0.2865,4070.0
38,OMEGA.2022-01-19T01:58:42.111.fits,30,5,2083.96,726.99,1942.01,146.08,0.2866,599.0
39,OMEGA.2022-01-19T01:58:42.111.fits,31,6,785.46,4168.76,59.49,1196.12,0.2866,3061.0
40,OMEGA.2022-01-22T04:46:34.403.fits,1,1,1471.9,12.91,2091.29,1769.94,0.01274,1864.0
41,OMEGA.2022-01-22T04:46:34.403.fits,11,2,230.34,132.09,1669.44,4184.12,0.01264,4301.0
42,OMEGA.2022-01-22T04:46:34.403.fits,16,4,54.58,1203.49,1123.29,4185.79,0.0126,3169.0
43,OMEGA.2022-01-22T04:46:34.403.fits,6,7,893.52,4.24,2084.94,3372.75,0.01269,3574.0
44,OMEGA.2022-01-22T04:46:34.403.fits,7,8,56.19,3684.41,200.6,4093.68,0.01266,435.0
45,OMEGA.2022-01-22T01:14:15.737.fits,25,2,246.46,108.74,2085.48,3191.95,0.2367,3591.0
46,OMEGA.2022-01-22T01:14:15.737.fits,30,4,773.29,140.28,2090.0,2345.02,0.237,2569.0
47,OMEGA.2022-01-22T01:14:15.737.fits,31,5,54.84,2518.83,1044.53,4181.59,0.2371,1936.0
48,OMEGA.2022-01-22T03:14:15.347.fits,30,1,1572.98,1929.63,2084.41,1953.67,0.004619,513.0
49,OMEGA.2022-01-22T03:14:15.347.fits,31,2,52.04,1958.99,2089.65,2057.89,0.004619,2041.0
50,OMEGA.2022-01-22T03:14:15.347.fits,32,3,52.03,2065.58,1346.49,2128.7,0.004619,1297.0
51,OMEGA.2022-01-22T01:02:06.275.fits,13,1,542.26,4181.09,350.22,129.63,0.4092,4057.0
